*BOMNUM,DRAWQTY,*EFF,*ITEM,*LOC,*OFFSET,*SUBORD
"40,400",10.00,,200-08-199,CHI,0D0H0M,200-00-000
"40,400",20.00,,200-08-199,CHI,0D0H1M,200-00-000
"40,400",11.00,,200-08-199,CHI,0D0H0M,200-08-000
"40,400",21.00,,200-08-199,CHI,0D0H1M,200-08-000
"40,400",12.00,,200-10-199,CHI,0D0H0M,200-00-000
"40,400",22.00,,200-10-199,CHI,0D0H1M,200-00-000
"40,400",13.00,,200-20-199,CHI,0D0H0M,200-00-000
"40,400",23.00,,200-20-199,CHI,0D0H1M,200-00-000
"40,400",14.00,,200-32-199,CHI,0D0H0M,200-00-000
"40,400",24.00,,200-32-199,CHI,0D0H1M,200-00-000
