*BOMNUM,*EFF,*ITEM,*LOC,*OFFSET,*SUBORD,DRAWTYPE
2,3/9/15,014-0100,AMSTR,0D0H0M,011-1000,2
1,,200-08-199,CHI,0D0H0M,200-00-000,2
1,,200-08-199,CHI,0D0H0M,200-08-000,2
1,,200-10-199,CHI,0D0H0M,200-00-000,2
1,,200-10-199,CHI,0D0H0M,200-10-000,2
1,,200-20-199,CHI,0D0H0M,200-00-000,2
1,,200-32-199,CHI,0D0H0M,200-00-000,2
1,,300-08-105,CHI,0D0H0M,300-00-000,2
1,,300-10-105,CHI,0D0H0M,300-00-000,2
1,,300-16-105,CHI,0D0H0M,300-00-000,2
1,,300-20-105,CHI,0D0H0M,300-00-000,2
1,,300-32-105,CHI,0D0H0M,300-00-000,2
1,,500-08-002,CHI,0D0H0M,499-08-000,2
1,,500-08-004,CHI,0D0H0M,499-08-000,2
1,,510-08-010,CHI,0D0H0M,499-08-000,2
1,,510-08-015,CHI,0D0H0M,499-08-000,2
